do, do, do, do
re, so, re, ti
re, so, so, do
re, so, so, fa
re, so, so, mi
re, so, so, re
re, so, so, so
re, so, so, ti
re, so, ti, do
re, so, ti, fa
re, so, ti, mi
re, so, ti, re
re, so, ti, so
re, so, ti, ti
re, ti, do, do
re, ti, do, la
re, ti, do, mi
re, ti, do, re
re, ti, do, ti
re, ti, fa, do
re, ti, fa, fa
re, ti, fa, la
re, ti, fa, mi
re, ti, fa, re
re, ti, fa, ti
re, ti, la, do
re, ti, la, fa
re, ti, la, la
re, ti, la, mi
re, ti, la, re
re, ti, la, so
re, ti, la, ti
re, ti, mi, fa
re, ti, mi, mi
re, ti, mi, re
re, ti, mi, so
re, ti, mi, ti
re, ti, re, fa
re, ti, re, la
re, ti, re, mi
re, ti, re, re
re, ti, re, so
re, ti, re, ti
re, ti, so, do
re, ti, so, fa
re, ti, so, la
re, ti, so, mi
re, ti, so, re
re, ti, so, so
re, ti, so, ti
re, ti, ti, do
re, ti, ti, fa
re, ti, ti, la
re, ti, ti, mi
re, ti, ti, re
re, ti, ti, so
re, ti, ti, ti
so, do, do, do
so, do, do, fa
so, do, do, mi
so, do, do, so
so, do, do, ti
so, do, fa, do
so, do, fa, fa
so, do, fa, la
so, do, fa, mi
so, do, fa, re
so, do, fa, so
so, do, fa, ti
so, do, la, do
so, do, la, fa
so, do, la, mi
so, do, la, re
so, do, la, so
so, do, la, ti
so, do, mi, do
so, do, mi, la
so, do, mi, mi
so, do, mi, re
so, do, mi, so
so, do, mi, ti
so, do, re, do
so, do, re, fa
so, do, re, la
so, do, re, re
so, do, re, ti
so, do, so, do
so, do, so, fa
so, do, so, mi
so, do, so, re
so, do, so, so
so, do, so, ti
so, do, ti, fa
so, do, ti, la
so, do, ti, mi
so, do, ti, re
so, do, ti, so
so, do, ti, ti
so, fa, do, do
so, fa, do, la
so, fa, do, mi
so, fa, do, re
so, fa, do, so
so, fa, do, ti
so, fa, fa, do
so, fa, fa, fa
so, fa, fa, la
so, fa, fa, mi
so, fa, fa, so
so, fa, fa, ti
so, fa, la, do
so, fa, la, fa
so, fa, la, la
so, fa, la, mi
so, fa, la, so
so, fa, la, ti
so, fa, mi, do
so, fa, mi, fa
so, fa, mi, la
so, fa, mi, mi
so, fa, mi, re
so, fa, mi, so
so, fa, re, do
so, fa, re, fa
so, fa, re, la
so, fa, re, mi
so, fa, re, re
so, fa, re, so
so, fa, re, ti
so, fa, so, do
so, fa, so, fa
so, fa, so, la
so, fa, so, mi
so, fa, so, re
so, fa, so, so
so, fa, ti, do
so, fa, ti, fa
so, fa, ti, la
so, fa, ti, mi
so, fa, ti, re
so, fa, ti, so
so, fa, ti, ti
so, la, do, do
so, la, do, fa
so, la, do, la
so, la, do, mi
so, la, do, re
so, la, do, so
so, la, do, ti
so, la, fa, do
so, la, fa, fa
so, la, fa, la
so, la, fa, mi
so, la, fa, re
so, la, fa, ti
so, la, la, do
so, la, la, fa
so, la, la, la
so, la, la, mi
so, la, la, re
so, la, la, so
so, la, la, ti
so, la, mi, fa
so, la, mi, mi
so, la, mi, re
so, la, mi, so
so, la, mi, ti
so, la, re, fa
so, la, re, mi
so, la, re, re
so, la, re, so
so, la, re, ti
so, la, so, do
so, la, so, fa
so, la, so, la
so, la, so, mi
so, la, so, re
so, la, so, so
so, la, so, ti
so, la, ti, do
so, la, ti, fa
so, la, ti, la
so, la, ti, mi
so, la, ti, re
so, la, ti, so
so, la, ti, ti
so, mi, do, fa
so, mi, do, la
so, mi, do, mi
so, mi, do, re
so, mi, do, so
so, mi, do, ti
so, mi, fa, do
so, mi, fa, fa
so, mi, fa, mi
so, mi, fa, re
so, mi, fa, so
so, mi, fa, ti
so, mi, la, do
so, mi, la, fa
so, mi, la, re
so, mi, la, so
so, mi, la, ti
so, mi, mi, do
so, mi, mi, la
so, mi, mi, mi
so, mi, mi, re
so, mi, mi, ti
so, mi, re, do
so, mi, re, fa
so, mi, re, la
so, mi, re, so
so, mi, so, la
so, mi, so, mi
so, mi, so, re
so, mi, so, so
so, mi, so, ti
so, mi, ti, fa
so, mi, ti, la
so, mi, ti, mi
so, mi, ti, re
so, mi, ti, so
so, mi, ti, ti
so, re, do, do
so, re, do, fa
so, re, do, mi
so, re, do, re
so, re, do, so
so, re, do, ti
so, re, fa, do
so, re, fa, fa
so, re, fa, la
so, re, fa, mi
so, re, fa, re
so, re, fa, so
so, re, fa, ti
so, re, la, do
so, re, la, fa
so, re, la, la
so, re, la, re
so, re, la, ti
so, re, mi, do
so, re, mi, fa
so, re, mi, la
so, re, mi, mi
so, re, mi, so
so, re, mi, ti
so, re, re, do
so, re, re, fa
so, re, re, la
so, re, re, mi
so, re, re, re
so, re, so, do
so, re, so, la
so, re, so, mi
so, re, so, re
so, re, so, so
so, re, so, ti
so, re, ti, do
so, re, ti, fa
so, re, ti, la
so, re, ti, mi
so, re, ti, re
so, re, ti, so
so, so, do, do
so, so, do, la
so, so, do, mi
so, so, do, re
so, so, do, so
so, so, do, ti
so, so, fa, do
so, so, fa, la
so, so, fa, mi
so, so, fa, re
so, so, fa, so
so, so, fa, ti
so, so, la, do
so, so, la, fa
so, so, la, la
so, so, la, mi
so, so, la, re
so, so, la, so
so, so, la, ti
so, so, mi, do
so, so, mi, fa
so, so, mi, la
so, so, mi, mi
so, so, mi, re
so, so, mi, so
so, so, mi, ti
so, so, re, fa
so, so, re, la
so, so, re, mi
so, so, re, re
so, so, re, so
so, so, re, ti
so, so, so, fa
so, so, so, la
so, so, so, mi
so, so, so, re
so, so, so, so
so, so, so, ti
so, so, ti, do
so, so, ti, fa
so, so, ti, la
so, so, ti, mi
so, so, ti, ti
so, ti, do, do
so, ti, do, fa
so, ti, do, la
so, ti, do, mi
so, ti, do, re
so, ti, do, so
so, ti, do, ti
so, ti, fa, do
so, ti, fa, fa
so, ti, fa, la
so, ti, fa, mi
so, ti, fa, so
so, ti, fa, ti
so, ti, la, do
so, ti, la, fa
so, ti, la, la
so, ti, la, mi
so, ti, la, so
so, ti, mi, do
so, ti, mi, fa
so, ti, mi, la
so, ti, mi, mi
so, ti, mi, re
so, ti, mi, so
so, ti, mi, ti
so, ti, re, fa
so, ti, re, la
so, ti, re, mi
so, ti, re, re
so, ti, re, so
so, ti, re, ti
so, ti, so, fa
so, ti, so, la
so, ti, so, so
so, ti, so, ti
so, ti, ti, do
so, ti, ti, fa
so, ti, ti, la
so, ti, ti, mi
so, ti, ti, re
so, ti, ti, so
so, ti, ti, ti
ti, do, do, do
ti, do, do, fa
ti, do, do, mi
ti, do, do, re
ti, do, do, ti
ti, do, fa, do
ti, do, fa, fa
ti, do, fa, la
ti, do, fa, re
ti, do, fa, so
ti, do, fa, ti
ti, do, la, fa
ti, do, la, la
ti, do, la, mi
ti, do, la, re
ti, do, mi, do
ti, do, mi, fa
ti, do, mi, la
ti, do, mi, mi
ti, do, mi, re
ti, do, mi, so
ti, do, mi, ti
ti, do, re, do
ti, do, re, fa
ti, do, re, la
ti, do, re, mi
ti, do, re, re
ti, do, re, so
ti, do, re, ti
ti, do, so, fa
ti, do, so, la
ti, do, so, mi
ti, do, so, re
ti, do, so, so
ti, do, so, ti
ti, do, ti, do
ti, do, ti, fa
ti, do, ti, la
ti, do, ti, mi
ti, do, ti, re
ti, do, ti, so
ti, do, ti, ti
ti, fa, do, do
ti, fa, do, fa
ti, fa, do, la
ti, fa, do, re
ti, fa, do, so
ti, fa, do, ti
ti, fa, fa, fa
ti, fa, fa, la
ti, fa, fa, mi
ti, fa, fa, re
ti, fa, fa, so
ti, fa, fa, ti
ti, fa, la, do
ti, fa, la, fa
ti, fa, la, la
ti, fa, la, mi
ti, fa, la, re
ti, fa, la, so
ti, fa, la, ti
ti, fa, mi, do
ti, fa, mi, fa
ti, fa, mi, la
ti, fa, mi, mi
ti, fa, mi, re
ti, fa, mi, so
ti, fa, mi, ti
ti, fa, re, do
ti, fa, re, fa
ti, fa, re, la
ti, fa, re, mi
ti, fa, re, re
ti, fa, re, so
ti, fa, re, ti
ti, fa, so, do
ti, fa, so, fa
ti, fa, so, la
ti, fa, so, mi
ti, fa, so, re
ti, fa, so, so
ti, fa, so, ti
ti, fa, ti, do
ti, fa, ti, fa
ti, fa, ti, mi
ti, fa, ti, re
ti, fa, ti, so
ti, la, do, la
ti, la, do, mi
ti, la, do, re
ti, la, do, so
ti, la, do, ti
ti, la, fa, do
ti, la, fa, fa
ti, la, fa, re
ti, la, fa, so
ti, la, la, do
ti, la, la, fa
ti, la, la, la
ti, la, la, mi
ti, la, la, re
ti, la, la, so
ti, la, mi, do
ti, la, mi, fa
ti, la, mi, la
ti, la, mi, mi
ti, la, mi, re
ti, la, mi, so
ti, la, mi, ti
ti, la, re, fa
ti, la, re, mi
ti, la, re, re
ti, la, re, so
ti, la, re, ti
ti, la, so, do
ti, la, so, la
ti, la, so, re
ti, la, so, so
ti, la, so, ti
ti, la, ti, do
ti, la, ti, fa
ti, la, ti, la
ti, la, ti, mi
ti, la, ti, re
ti, la, ti, so
ti, la, ti, ti
ti, mi, do, do
ti, mi, do, fa
ti, mi, do, la
ti, mi, do, mi
ti, mi, do, re
ti, mi, do, so
ti, mi, do, ti
ti, mi, fa, do
ti, mi, fa, fa
ti, mi, fa, la
ti, mi, fa, mi
ti, mi, fa, re
ti, mi, fa, so
ti, mi, fa, ti
ti, mi, la, do
ti, mi, la, fa
ti, mi, la, la
ti, mi, la, re
ti, mi, la, so
ti, mi, la, ti
ti, mi, mi, do
ti, mi, mi, la
ti, mi, mi, mi
ti, mi, mi, re
ti, mi, mi, so
ti, mi, mi, ti
ti, mi, re, do
ti, mi, re, fa
ti, mi, re, la
ti, mi, re, mi
ti, mi, re, re
ti, mi, re, so
ti, mi, re, ti
ti, mi, so, do
ti, mi, so, fa
ti, mi, so, mi
ti, mi, so, re
ti, mi, so, so
ti, mi, so, ti
ti, mi, ti, do
ti, mi, ti, fa
ti, mi, ti, la
ti, mi, ti, mi
ti, mi, ti, so
ti, mi, ti, ti
ti, re, do, do
ti, re, do, fa
ti, re, do, la
ti, re, do, mi
ti, re, do, re
ti, re, do, ti
ti, re, fa, do
ti, re, fa, fa
ti, re, fa, la
ti, re, fa, mi
ti, re, fa, re
ti, re, fa, so
ti, re, fa, ti
ti, re, la, do
ti, re, la, fa
ti, re, la, la
ti, re, la, mi
ti, re, la, re
ti, re, la, so
ti, re, la, ti
ti, re, mi, fa
ti, re, mi, la
ti, re, mi, mi
ti, re, mi, re
ti, re, mi, so
ti, re, mi, ti
ti, re, re, do
ti, re, re, fa
ti, re, re, la
ti, re, re, mi
ti, re, re, re
ti, re, re, so
ti, re, re, ti
ti, re, so, do
ti, re, so, fa
ti, re, so, la
ti, re, so, mi
ti, re, so, re
ti, re, so, so
ti, re, so, ti
ti, re, ti, do
ti, re, ti, fa
ti, re, ti, la
ti, re, ti, mi
ti, re, ti, re
ti, re, ti, so
ti, re, ti, ti
ti, so, do, do
ti, so, do, fa
ti, so, do, la
ti, so, do, mi
ti, so, do, re
ti, so, do, so
ti, so, do, ti
ti, so, fa, do
ti, so, fa, fa
ti, so, fa, la
ti, so, fa, mi
ti, so, fa, re
ti, so, fa, so
ti, so, fa, ti
ti, so, la, do
ti, so, la, fa
ti, so, la, la
ti, so, la, mi
ti, so, la, re
ti, so, la, ti
ti, so, mi, do
ti, so, mi, fa
ti, so, mi, la
ti, so, mi, mi
ti, so, mi, re
ti, so, mi, so
ti, so, mi, ti
ti, so, re, do
ti, so, re, fa
ti, so, re, la
ti, so, re, mi
ti, so, re, ti
ti, so, so, do
ti, so, so, fa
ti, so, so, la
ti, so, so, mi
ti, so, so, so
ti, so, ti, do
ti, so, ti, fa
ti, so, ti, la
ti, so, ti, mi
ti, so, ti, re
ti, so, ti, so
ti, ti, do, do
ti, ti, do, fa
ti, ti, do, la
ti, ti, do, mi
ti, ti, do, re
ti, ti, do, so
ti, ti, do, ti
ti, ti, fa, do
ti, ti, fa, fa
ti, ti, fa, la
ti, ti, fa, mi
ti, ti, fa, re
ti, ti, fa, so
ti, ti, la, la
ti, ti, la, mi
ti, ti, la, re
ti, ti, la, so
ti, ti, la, ti
ti, ti, mi, do
ti, ti, mi, fa
ti, ti, mi, la
ti, ti, mi, mi
ti, ti, mi, re
ti, ti, mi, ti
ti, ti, re, fa
ti, ti, re, la
ti, ti, re, mi
ti, ti, re, re
ti, ti, re, so
ti, ti, re, ti
ti, ti, so, do
ti, ti, so, fa
ti, ti, so, la
ti, ti, so, mi
ti, ti, so, so
ti, ti, so, ti
ti, ti, ti, do
ti, ti, ti, fa
ti, ti, ti, la
ti, ti, ti, mi
ti, ti, ti, re
ti, ti, ti, so
ti, ti, ti, ti
